variable,name,description,behaviour,computed_at_runtime_or_static
context.version,context version,Version of the template context contract used by the engine.,Scalar string available to every template so template packs can target a stable API.,static
context.generated_at,generated at,Timestamp when the generation context was created.,"Scalar ISO timestamp useful for banners, audit comments, and generated file metadata.",computed_runtime
context.generator.name,generator name,Name of the generator/runtime package.,Scalar string for generated headers or diagnostics.,static
context.generator.version,generator version,Version of the installed generator/runtime.,"Scalar string for generated headers, lockfiles, or compatibility checks.",computed_runtime
context.project.root_dir,project root directory,Root directory where generation is running.,Path string; should be normalized by the engine.,computed_runtime
context.project.config_dir,config directory,Directory containing user-owned entity configs.,Path string; useful for diagnostics and relative resolution.,computed_runtime
source.path,source path,"Relative path of the config file, for example app.ts or auth/user.ts.",Scalar value discovered from the loaded module.,static
source.absolute_path,source absolute path,Absolute file path of the loaded config file.,Scalar value mostly for diagnostics; templates may avoid emitting it.,static
source.key,source key,Discovered entity key from module discovery.,Scalar lookup key from discovery metadata.,static
source.group_key,source group key,Discovered group key when available.,Scalar group key from discovery metadata; may be null when not discovered.,static
metadata.loaded_at,metadata loaded at,Timestamp when the config module was loaded.,Diagnostic scalar; useful for context inspection.,static
metadata.module_path,metadata module path,Resolved module path used by the loader.,Diagnostic scalar; usually not emitted into generated code.,static
raw,raw root,Original loaded object before context normalization.,Escape hatch for advanced templates; not recommended for portable templates.,static
entity.key,entity key,"Canonical entity key, e.g. app or user.",Scalar identifier; stable across templates.,static
entity.group_key,entity group key,"Canonical group/module namespace for the entity, e.g. platform or auth.","Scalar identifier used for folders, modules, and imports.",static
entity.base,entity base,Optional base entity/config reference.,Scalar or object from config; null when no base is used.,static
entity.raw,entity raw config,Original raw entity config supplied by the user.,Escape hatch preserving user intent exactly.,static
entity.is_virtualized,entity is virtualized,Whether entity context contains lazy/computed variables.,Boolean diagnostic flag.,computed_runtime
entity.identity.full_key,entity full key,"Stable fully-qualified entity identity, usually group_key + key.",Computed string for namespacing and registry lookup.,computed_runtime
entity.identity.module_key,entity module key,Normalized module key for generated module names.,Computed from group_key and entity key.,computed_runtime
entity.identity.context_key,entity context key,Unique key for this entity in the template runtime.,"Computed string for caches, diagnostics, and context inspection.",computed_runtime
entity.names.original,entity names original,Original input name before normalization. for the entity.,Scalar string.,static
entity.names.parts,entity names parts,Array of parsed words/segments. for the entity.,Array of strings; loopable.,computed_runtime
entity.names.parts_length,entity names parts_length,Number of parsed name parts. for the entity.,Number derived from parts length.,computed_runtime
entity.names.word,entity names word,Last or primary word in the parsed name. for the entity.,Scalar string.,computed_runtime
entity.names.words,entity names words,Human readable words joined by spaces. for the entity.,Scalar string.,computed_runtime
entity.names.words_lower,entity names words_lower,Lowercase words joined by spaces. for the entity.,Scalar string.,computed_runtime
entity.names.words_upper,entity names words_upper,Uppercase words joined by spaces. for the entity.,Scalar string.,computed_runtime
entity.names.words_title,entity names words_title,Title case words joined by spaces. for the entity.,Scalar string.,computed_runtime
entity.names.camel_case,entity names camel_case,camelCase form. for the entity.,Scalar string.,computed_runtime
entity.names.pascal_case,entity names pascal_case,PascalCase form. for the entity.,Scalar string.,computed_runtime
entity.names.snake_case,entity names snake_case,snake_case form. for the entity.,Scalar string.,computed_runtime
entity.names.kebab_case,entity names kebab_case,kebab-case form. for the entity.,Scalar string.,computed_runtime
entity.names.dot_path,entity names dot_path,dot.path form. for the entity.,Scalar string.,computed_runtime
entity.names.slash_path,entity names slash_path,slash/path form. for the entity.,Scalar string.,computed_runtime
entity.names.filesystem_path,entity names filesystem_path,Filesystem-safe path form. for the entity.,Scalar string.,computed_runtime
entity.names.constant_case,entity names constant_case,CONSTANT_CASE form. for the entity.,Scalar string.,computed_runtime
entity.names.train_case,entity names train_case,Train-Case form. for the entity.,Scalar string.,computed_runtime
entity.names.lower_case,entity names lower_case,Lowercase compact form. for the entity.,Scalar string.,computed_runtime
entity.names.upper_case,entity names upper_case,Uppercase compact form. for the entity.,Scalar string.,computed_runtime
entity.names.singular.original,entity singular names original,Original input name before normalization. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.parts,entity singular names parts,Array of parsed words/segments. for the singular form of the entity.,Array of strings; loopable.,computed_runtime
entity.names.singular.parts_length,entity singular names parts_length,Number of parsed name parts. for the singular form of the entity.,Number derived from parts length.,computed_runtime
entity.names.singular.word,entity singular names word,Last or primary word in the parsed name. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.words,entity singular names words,Human readable words joined by spaces. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.words_lower,entity singular names words_lower,Lowercase words joined by spaces. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.words_upper,entity singular names words_upper,Uppercase words joined by spaces. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.words_title,entity singular names words_title,Title case words joined by spaces. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.camel_case,entity singular names camel_case,camelCase form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.pascal_case,entity singular names pascal_case,PascalCase form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.snake_case,entity singular names snake_case,snake_case form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.kebab_case,entity singular names kebab_case,kebab-case form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.dot_path,entity singular names dot_path,dot.path form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.slash_path,entity singular names slash_path,slash/path form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.filesystem_path,entity singular names filesystem_path,Filesystem-safe path form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.constant_case,entity singular names constant_case,CONSTANT_CASE form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.train_case,entity singular names train_case,Train-Case form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.lower_case,entity singular names lower_case,Lowercase compact form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.singular.upper_case,entity singular names upper_case,Uppercase compact form. for the singular form of the entity.,Scalar string.,computed_runtime
entity.names.plural.original,entity plural names original,Original input name before normalization. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.parts,entity plural names parts,Array of parsed words/segments. for the plural form of the entity.,Array of strings; loopable.,computed_runtime
entity.names.plural.parts_length,entity plural names parts_length,Number of parsed name parts. for the plural form of the entity.,Number derived from parts length.,computed_runtime
entity.names.plural.word,entity plural names word,Last or primary word in the parsed name. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.words,entity plural names words,Human readable words joined by spaces. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.words_lower,entity plural names words_lower,Lowercase words joined by spaces. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.words_upper,entity plural names words_upper,Uppercase words joined by spaces. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.words_title,entity plural names words_title,Title case words joined by spaces. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.camel_case,entity plural names camel_case,camelCase form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.pascal_case,entity plural names pascal_case,PascalCase form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.snake_case,entity plural names snake_case,snake_case form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.kebab_case,entity plural names kebab_case,kebab-case form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.dot_path,entity plural names dot_path,dot.path form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.slash_path,entity plural names slash_path,slash/path form. for the plural form of the entity.,Scalar string.,computed_runtime
