variable,name,description,behaviour,computed_at_runtime_or_static
context.version,context version,Version of the template context contract used by the engine.,Scalar string available to every template so template packs can target a stable API.,static
context.generated_at,context generated at,Timestamp when the generation context was created.,"Scalar ISO timestamp useful for banners, audit comments, and generated file metadata.",computed_runtime
context.generator.name,context generator name,Name of the generator/runtime package.,Scalar string for generated headers or diagnostics.,static
context.generator.version,context generator version,Version of the installed generator/runtime.,"Scalar string for generated headers, lockfiles, or compatibility checks.",computed_runtime
context.project.root.dir,context project root dir,Root directory where generation is running.,Path string; should be normalized by the engine.,computed_runtime
context.project.config.dir,context project config dir,Directory containing user-owned entity configs.,Path string; useful for diagnostics and relative resolution.,computed_runtime
source.path,source path,"Relative path of the config file, for example app.ts or auth/user.ts.",Path fact supplied by the generator; template authors choose the import syntax.,static
source.absolute.path,source absolute path,Absolute file path of the loaded config file.,Path fact supplied by the generator; template authors choose the import syntax.,static
source.key,source key,Discovered entity key from module discovery.,Scalar lookup key from discovery metadata.,static
source.group.key,source group key,Discovered group key when available.,Scalar group key from discovery metadata; may be null when not discovered.,static
metadata.loaded_at,metadata loaded at,Timestamp when the config module was loaded.,Diagnostic scalar; useful for context inspection.,static
metadata.module.path,metadata module path,Resolved module path used by the loader.,Path fact supplied by the generator; template authors choose the import syntax.,static
raw,raw,Original loaded object before context normalization.,Escape hatch for advanced templates; not recommended for portable templates.,static
entity.key,entity key,"Canonical entity key, e.g. app or user.",Scalar identifier; stable across templates.,static
entity.group.key,entity group key,"Canonical group/module namespace for the entity, e.g. platform or auth.","Scalar identifier used for folders, modules, and imports.",static
entity.base,entity base,Optional base entity/config reference.,Scalar or object from config; null when no base is used.,static
entity.raw,entity raw,Original raw entity config supplied by the user.,Escape hatch preserving user intent exactly.,static
entity.is_virtualized,entity is virtualized,Boolean flag indicating whether the current item is virtualized.,Direct boolean check intended for use in `{!# if ... !}` conditions.,computed_runtime
entity.identity.full.key,entity identity full key,"Stable fully-qualified entity identity, usually group_key + key.",Computed string for namespacing and registry lookup.,computed_runtime
entity.identity.module.key,entity identity module key,Normalized module key for generated module names.,Computed from group_key and entity key.,computed_runtime
entity.identity.context.key,entity identity context key,Unique key for this entity in the template runtime.,"Computed string for caches, diagnostics, and context inspection.",computed_runtime
entity.name.original,entity name original,Original input name before normalization.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,static
entity.name.parts.array.all,entity name parts array all,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.name.parts.array.count,entity name parts array count,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.name.word,entity name word,Last or primary word in the parsed name. for the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words,entity name words,Human readable words joined by spaces. for the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.lower,entity name words lower,Lowercase words joined by spaces. for the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.upper,entity name words upper,Uppercase words joined by spaces. for the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.title,entity name words title,Title case words joined by spaces. for the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.camel,entity name casing camel,Camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.pascal,entity name casing pascal,Pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.snake,entity name casing snake,Snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.kebab,entity name casing kebab,Kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.path.dot,entity name path dot,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.path.slash,entity name path slash,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.path.filesystem,entity name path filesystem,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.constant,entity name casing constant,Constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.train,entity name casing train,Train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.lower,entity name casing lower,Lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.upper,entity name casing upper,Upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.original.singular,entity name original singular,Original input name before normalization. for the singular form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.parts.array.all.singular,entity name parts array all singular,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.name.parts.array.count.singular,entity name parts array count singular,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.name.word.singular,entity name word singular,Last or primary word in the parsed name. for the singular form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.singular,entity name words singular,Human readable words joined by spaces. for the singular form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.lower.singular,entity name words lower singular,Lowercase words joined by spaces. for the singular form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.upper.singular,entity name words upper singular,Uppercase words joined by spaces. for the singular form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.title.singular,entity name words title singular,Title case words joined by spaces. for the singular form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.camel.singular,entity name casing camel singular,Singular camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.pascal.singular,entity name casing pascal singular,Singular pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.snake.singular,entity name casing snake singular,Singular snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.kebab.singular,entity name casing kebab singular,Singular kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.path.dot.singular,entity name path dot singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.path.slash.singular,entity name path slash singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.path.filesystem.singular,entity name path filesystem singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.constant.singular,entity name casing constant singular,Singular constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.train.singular,entity name casing train singular,Singular train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.lower.singular,entity name casing lower singular,Singular lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.upper.singular,entity name casing upper singular,Singular upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.original.plural,entity name original plural,Original input name before normalization. for the plural form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.parts.array.all.plural,entity name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.name.parts.array.count.plural,entity name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.name.word.plural,entity name word plural,Last or primary word in the parsed name. for the plural form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.plural,entity name words plural,Human readable words joined by spaces. for the plural form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.lower.plural,entity name words lower plural,Lowercase words joined by spaces. for the plural form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.upper.plural,entity name words upper plural,Uppercase words joined by spaces. for the plural form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.words.title.plural,entity name words title plural,Title case words joined by spaces. for the plural form of the entity.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.camel.plural,entity name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.pascal.plural,entity name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.snake.plural,entity name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.kebab.plural,entity name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
